Data zaladunku;Miejsce zaladunku;Data operacji;Dostawca;Typ operacji;Nr WZ;Czy magazynowane;Deklaracja/KZR;Volumen;Jednostka miary;Cena zakupu/produkcji;Wartosc;Cena sprzedazy;Produkt;Rodzaj zrebki;Rabanie (kto);Koszt rabania;Przewoznik;Nr rejestracyjny;Odleglosc km;Stawka zl/km;Koszt transportu;Odbiorca;Miejsce pochodzenia;Uwagi;Utworzyl;Data dodania wpisu;ID operacji;ID powiazania;Status
2026-07-07;;2026-07-07;Lander Agro;ZAKUP;PZ/3;NIE;Deklaracja;88.0;MP;78.0;6864.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:32:50;OP-MIGR-00015;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZUŻYCIE;PZ/3;NIE;Deklaracja;88.0;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:32:50;OP-MIGR-00026;;AKTYWNY
2026-07-07;Myszków;2026-07-07;Magazyn Zabrze;ZAKUP;PZ/3;TAK;Deklaracja;88.0;MP;70.0;6864.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;110.0;5.0;550.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:34:20;OP-MIGR-00016;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZAKUP;PZ/4;NIE;Deklaracja;84.0;MP;78.0;6552.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:39:19;OP-MIGR-00017;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;PRODUKCJA;PZ/4;TAK;Deklaracja;84.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:39:20;OP-MIGR-00011;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZUŻYCIE;PZ/4;NIE;Deklaracja;21.0;M3;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:39:20;OP-MIGR-00027;;AKTYWNY
2026-07-07;Myszków;2026-07-07;Magazyn Zabrze;ZAKUP;PZ/4;TAK;Deklaracja;63.0;MP;70.0;4914.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;110.0;6.0;660.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:44:23;OP-MIGR-00018;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;PRODUKCJA;PZ/5;TAK;Deklaracja;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:52:29;OP-MIGR-00012;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZAKUP;PZ/5;NIE;Deklaracja;88.0;MP;78.0;6864.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:52:29;OP-MIGR-00019;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZUŻYCIE;PZ/5;NIE;Deklaracja;88.0;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:52:29;OP-MIGR-00028;;AKTYWNY
2026-07-07;Myszków;2026-07-07;Magazyn Zabrze;ZAKUP;PZ/5;TAK;Deklaracja;88.0;MP;70.0;6864.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;110.0;5.0;550.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:53:58;OP-MIGR-00020;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;PRODUKCJA;PZ/6;TAK;Deklaracja;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:59:01;OP-MIGR-00013;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZAKUP;PZ/6;NIE;Deklaracja;88.0;MP;78.0;6864.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:59:01;OP-MIGR-00021;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZUŻYCIE;PZ/6;NIE;Deklaracja;88.0;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:59:01;OP-MIGR-00029;;AKTYWNY
2026-07-07;Myszków;2026-07-07;Magazyn Zabrze;ZAKUP;PZ/6;TAK;Deklaracja;88.0;MP;70.0;6864.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;Nowatrans;WND 3546F;110.0;5.0;550.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 08:01:01;OP-MIGR-00022;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;PRODUKCJA;PZ/7;TAK;Deklaracja;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 08:04:14;OP-MIGR-00014;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZAKUP;PZ/7;NIE;Deklaracja;88.0;MP;78.0;6864.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 08:04:14;OP-MIGR-00023;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;ZUŻYCIE;PZ/7;NIE;Deklaracja;88.0;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 08:04:14;OP-MIGR-00030;;AKTYWNY
2026-07-07;Myszków;2026-07-07;Magazyn Zabrze;ZAKUP;PZ/7;TAK;Deklaracja;88.0;MP;70.0;6864.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;110.0;5.0;550.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 08:05:51;OP-MIGR-00024;;AKTYWNY
2026-07-07;;2026-07-07;Drewnex;ZAKUP;PZ/8;TAK;KZR;26.36;TON;265.0;6985.4;0.0;Zrębka towar;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-13 12:43:50;OP-MIGR-00025;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-1;TAK;;86.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 00:44:36;OP-MIGR-00031;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-2;TAK;;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 00:47:34;OP-MIGR-00032;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-3;TAK;;86.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 00:55:17;OP-MIGR-00033;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-4;TAK;;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 00:57:54;OP-MIGR-00034;;AKTYWNY
2026-07-08;;2026-07-08;Lander Agro;ZAKUP;PZ/2/D;TAK;KZR;28.12;M3;230.0;6467.6;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-10 09:58:59;OP-MIGR-00037;;AKTYWNY
2026-07-08;;2026-07-08;Lander Agro;ZAKUP;PZ/3/D;TAK;KZR;30.66;M3;230.0;7051.8;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-10 10:02:22;OP-MIGR-00038;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-5;TAK;;61.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 11:02:35;OP-MIGR-00035;;AKTYWNY
2026-07-08;Magazyn Pyskowice;2026-07-08;Magazyn Pyskowice;MM;MM-6;TAK;;25.0;M3;0.0;0.0;0.0;Drewno opałowe z lasu;;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 11:06:01;OP-MIGR-00036;;AKTYWNY
2026-07-08;;2026-07-08;Walber;ZAKUP;PZ/9;TAK;KZR;24.64;TON;275.0;6776.0;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:22:23;OP-MIGR-00039;;AKTYWNY
2026-07-08;;2026-07-08;Walber;ZAKUP;PZ/10;TAK;KZR;24.64;TON;275.0;6776.0;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:23:59;OP-MIGR-00040;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-7;TAK;;86.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 11:30:10;OP-MIGR-00041;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-8;TAK;;84.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 11:33:34;OP-MIGR-00042;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-9;TAK;;61.48;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-09 13:45:03;OP-MIGR-00043;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-10;TAK;;69.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 11:09:51;OP-MIGR-00044;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-11;TAK;;84.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 11:11:24;OP-MIGR-00045;;AKTYWNY
2026-07-09;Magazyn Pyskowice;2026-07-09;Magazyn Pyskowice;MM;MM-12;TAK;;86.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 11:12:30;OP-MIGR-00046;;AKTYWNY
2026-07-09;;2026-07-09;Walber;ZAKUP;PZ/11;TAK;KZR;25.54;TON;275.0;7023.5;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:27:29;OP-MIGR-00047;;AKTYWNY
2026-07-09;;2026-07-09;Walber;ZAKUP;PZ/12;TAK;KZR;24.08;MP;275.0;6622.0;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:28:40;OP-MIGR-00048;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-13;TAK;;84.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 10:04:15;OP-MIGR-00049;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-14;TAK;;85.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 10:05:21;OP-MIGR-00050;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-15;TAK;;67.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-10 10:19:03;OP-MIGR-00051;;AKTYWNY
2026-07-10;;2026-07-10;Lander Agro;ZAKUP;PZ/4/D;TAK;KZR;27.02;M3;230.0;6214.6;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-10 10:42:29;OP-MIGR-00055;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-16;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 08:36:20;OP-MIGR-00052;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-17;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Kretek);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 08:37:38;OP-MIGR-00053;;AKTYWNY
2026-07-10;Magazyn Pyskowice;2026-07-10;Magazyn Pyskowice;MM;MM-18;TAK;;70.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 08:38:39;OP-MIGR-00054;;AKTYWNY
2026-07-10;;2026-07-10;Drewnex;ZAKUP;PZ/13;TAK;KZR;28.06;TON;265.0;7435.9;0.0;Zrębka towar;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-13 12:41:00;OP-MIGR-00056;;AKTYWNY
2026-07-10;;2026-07-10;Walber;ZAKUP;PZ/14;TAK;KZR;24.04;TON;275.0;6611.0;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:30:19;OP-MIGR-00057;;AKTYWNY
2026-07-10;;2026-07-10;Walber;ZAKUP;PZ/15;TAK;KZR;23.88;TON;275.0;6567.0;0.0;Zrębka towar;B;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-14 10:31:04;OP-MIGR-00058;;AKTYWNY
2026-07-13;Magazyn Pyskowice;2026-07-13;Magazyn Pyskowice;MM;MM-19;TAK;;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 08:43:56;OP-MIGR-00059;;AKTYWNY
2026-07-13;Magazyn Pyskowice;2026-07-13;Magazyn Pyskowice;MM;MM-20;TAK;;75.6;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 08:45:55;OP-MIGR-00060;;AKTYWNY
2026-07-13;Magazyn Pyskowice;2026-07-13;Magazyn Pyskowice;MM;MM-21;TAK;;76.2;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-13 12:24:36;OP-MIGR-00061;;AKTYWNY
2026-07-13;;2026-07-13;Lander Agro;ZAKUP;PZ/5/D;TAK;KZR;26.69;M3;230.0;6138.7;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-13 12:26:54;OP-MIGR-00062;;AKTYWNY
2026-07-14;Magazyn Pyskowice;2026-07-14;Magazyn Pyskowice;MM;MM-22;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-14 07:52:46;OP-MIGR-00063;;AKTYWNY
2026-07-14;Magazyn Pyskowice;2026-07-14;Magazyn Pyskowice;MM;MM-23;TAK;;87.02;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-14 10:14:28;OP-MIGR-00064;;AKTYWNY
2026-07-14;Magazyn Pyskowice;2026-07-14;Magazyn Pyskowice;MM;MM-24;TAK;;86.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 07:54:07;OP-MIGR-00065;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-25;TAK;;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 07:56:26;OP-MIGR-00066;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-26;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Chrzan);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 07:57:31;OP-MIGR-00067;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-27;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 11:18:17;OP-MIGR-00068;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-28;TAK;;85.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Chrzan);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 11:19:07;OP-MIGR-00069;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-29;TAK;;90.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 13:10:27;OP-MIGR-00070;;AKTYWNY
2026-07-15;Magazyn Pyskowice;2026-07-15;Magazyn Pyskowice;MM;MM-30;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Chrzan);SK 7J885;40.0;5.0;200.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-15 13:11:31;OP-MIGR-00071;;AKTYWNY
2026-07-15;;2026-07-15;Drewnex;ZAKUP;PZ/16;TAK;KZR;28.06;TON;265.0;7435.9;0.0;Zrębka towar;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;Tartaczna;Roesner Mateusz;2026-07-21 10:20:40;OP-MIGR-00072;;AKTYWNY
2026-07-16;Magazyn Pyskowice;2026-07-16;Magazyn Pyskowice;MM;MM-31;TAK;;85.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;Nowatrans;ST 9995P;40.0;15.0;600.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-16 10:49:17;OP-MIGR-00073;;AKTYWNY
2026-07-16;Magazyn Pyskowice;2026-07-16;Magazyn Pyskowice;MM;MM-32;TAK;;87.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;Nowatrans;ST 9995P;40.0;15.0;600.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-16 10:50:09;OP-MIGR-00074;;AKTYWNY
2026-07-16;Magazyn Pyskowice;2026-07-16;Magazyn Pyskowice;MM;MM-33;TAK;;76.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;40.0;6.0;240.0;Magazyn Zabrze;Magazyn Pyskowice;;Roesner Mateusz;2026-07-16 10:51:11;OP-MIGR-00075;;AKTYWNY
2026-07-16;;2026-07-16;Lander Agro;ZAKUP;PZ/6/D;TAK;KZR;28.98;M3;230.0;6665.4;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-16 11:14:22;OP-MIGR-00078;;AKTYWNY
2026-07-16;;2026-07-16;Lander Agro;ZAKUP;PZ/7/D;TAK;KZR;28.49;M3;230.0;6552.7;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;Waga: 22,880t;Roesner Mateusz;2026-07-16 11:15:27;OP-MIGR-00079;;AKTYWNY
